time,evid,arid,phase,network,station
2000-12-13T15:02:12.490000,2,19,P,X,ST16
2000-12-13T15:02:20.740000,2,20,S,X,ST16
2000-12-13T15:02:18.340000,2,21,S,X,ST18
2000-12-13T15:02:05.810000,2,22,P,X,ST20
2000-12-13T15:02:09.230000,2,23,S,X,ST20
2000-12-13T15:02:08.110000,2,24,P,X,ST21
2000-12-13T15:02:13.210000,2,25,S,X,ST21
2000-12-13T15:02:05.520000,2,26,P,X,ST22
2000-12-13T15:02:08.740000,2,27,S,X,ST22
2000-12-13T15:02:08.860000,2,28,P,X,ST23
2000-12-13T15:02:14.540000,2,29,S,X,ST23
2000-12-13T15:02:20.020000,2,30,S,X,ST26
2000-12-13T15:03:09.990000,3,1,P,X,ST0 
2000-12-13T15:03:16.260000,3,2,S,X,ST0 
2000-12-13T15:03:06.360000,3,3,S,X,ST1 
2000-12-13T15:03:08.340000,3,4,P,X,ST2 
2000-12-13T15:03:13.560000,3,5,S,X,ST2 
2000-12-13T15:03:05.940000,3,6,S,X,ST3 
2000-12-13T15:03:07.790000,3,7,P,X,ST6 
2000-12-13T15:03:07.320000,3,8,P,X,ST9 
2000-12-13T15:03:11.780000,3,9,S,X,ST9 
2000-12-13T15:03:04.100000,3,10,P,X,ST10
2000-12-13T15:03:09.700000,3,11,S,X,ST11
2000-12-13T15:03:06.760000,3,12,P,X,ST14
2000-12-13T15:03:07.670000,3,13,P,X,ST18
2000-12-13T15:03:12.480000,3,14,S,X,ST18
2000-12-13T15:03:07.100000,3,15,P,X,ST19
2000-12-13T15:03:02.530000,3,16,P,X,ST20
2000-12-13T15:03:03.620000,3,17,S,X,ST20
2000-12-13T15:03:04.710000,3,18,P,X,ST21
2000-12-13T15:03:07.310000,3,19,S,X,ST21
2000-12-13T15:03:02.490000,3,20,P,X,ST22
2000-12-13T15:03:03.520000,3,21,S,X,ST22
2000-12-13T15:03:05.440000,3,22,P,X,ST23
2000-12-13T15:03:08.720000,3,23,P,X,ST24
2000-12-13T15:03:05.580000,3,24,P,X,ST25
2000-12-13T15:03:08.890000,3,25,S,X,ST25
2000-12-13T15:03:08.730000,3,26,P,X,ST26
2000-12-13T15:04:09.980000,4,1,P,X,ST0 
2000-12-13T15:04:06.340000,4,2,S,X,ST1 
2000-12-13T15:04:08.340000,4,3,P,X,ST2 
2000-12-13T15:04:05.960000,4,4,S,X,ST3 
2000-12-13T15:04:08.770000,4,5,P,X,ST4 
2000-12-13T15:04:09.950000,4,6,S,X,ST5 
2000-12-13T15:04:07.780000,4,7,P,X,ST6 
2000-12-13T15:04:05.550000,4,8,P,X,ST7 
2000-12-13T15:04:08.880000,4,9,S,X,ST7 
2000-12-13T15:04:06.310000,4,10,S,X,ST8 
2000-12-13T15:04:04.110000,4,11,P,X,ST10
2000-12-13T15:04:05.990000,4,12,P,X,ST11
2000-12-13T15:04:03.170000,4,13,P,X,ST12
2000-12-13T15:04:04.610000,4,14,S,X,ST12
2000-12-13T15:04:07.350000,4,15,P,X,ST13
2000-12-13T15:04:11.870000,4,16,S,X,ST13
2000-12-13T15:04:06.750000,4,17,P,X,ST14
2000-12-13T15:04:10.740000,4,18,S,X,ST14
2000-12-13T15:04:11.060000,4,19,S,X,ST15
2000-12-13T15:04:09.240000,4,20,P,X,ST16
2000-12-13T15:04:07.670000,4,21,P,X,ST18
2000-12-13T15:04:07.090000,4,22,P,X,ST19
2000-12-13T15:04:11.460000,4,23,S,X,ST19
2000-12-13T15:04:02.510000,4,24,P,X,ST20
2000-12-13T15:04:03.580000,4,25,S,X,ST20
2000-12-13T15:04:04.710000,4,26,P,X,ST21
2000-12-13T15:04:02.470000,4,27,P,X,ST22
2000-12-13T15:04:05.430000,4,28,P,X,ST23
2000-12-13T15:04:08.720000,4,29,P,X,ST24
2000-12-13T15:04:08.880000,4,30,S,X,ST25
2000-12-13T15:04:08.720000,4,31,P,X,ST26
2000-12-13T15:05:04.050000,5,1,P,X,ST1 
2000-12-13T15:05:06.120000,5,2,S,X,ST1 
2000-12-13T15:05:08.160000,5,3,P,X,ST2 
2000-12-13T15:05:04.000000,5,4,P,X,ST3 
2000-12-13T15:05:08.830000,5,5,P,X,ST4 
2000-12-13T15:05:06.030000,5,6,P,X,ST5 
2000-12-13T15:05:09.560000,5,7,S,X,ST5 
2000-12-13T15:05:09.070000,5,8,S,X,ST7 
2000-12-13T15:05:04.200000,5,9,P,X,ST8 
2000-12-13T15:05:12.040000,5,10,S,X,ST9 
2000-12-13T15:05:02.970000,5,11,P,X,ST12
2000-12-13T15:05:04.280000,5,12,S,X,ST12
2000-12-13T15:05:07.230000,5,13,P,X,ST13
2000-12-13T15:05:06.540000,5,14,P,X,ST14
2000-12-13T15:05:10.370000,5,15,S,X,ST14
2000-12-13T15:05:06.790000,5,16,P,X,ST15
2000-12-13T15:05:09.690000,5,17,P,X,ST17
2000-12-13T15:05:07.600000,5,18,P,X,ST18
2000-12-13T15:05:12.350000,5,19,S,X,ST18
2000-12-13T15:05:07.020000,5,20,P,X,ST19
2000-12-13T15:05:02.590000,5,21,P,X,ST20
2000-12-13T15:05:03.700000,5,22,S,X,ST20
2000-12-13T15:05:07.130000,5,23,S,X,ST21
2000-12-13T15:05:02.490000,5,24,P,X,ST22
2000-12-13T15:05:05.370000,5,25,P,X,ST23
2000-12-13T15:05:08.590000,5,26,P,X,ST24
2000-12-13T15:05:08.630000,5,27,P,X,ST26
2000-12-13T15:06:05.350000,6,1,P,X,ST0 
2000-12-13T15:06:08.360000,6,2,S,X,ST0 
2000-12-13T15:06:04.650000,6,3,P,X,ST1 
2000-12-13T15:06:11.900000,6,4,P,X,ST2 
2000-12-13T15:06:19.370000,6,5,S,X,ST2 
2000-12-13T15:06:08.510000,6,6,P,X,ST3 
2000-12-13T15:06:05.780000,6,7,P,X,ST4 
2000-12-13T15:06:08.580000,6,8,P,X,ST5 
2000-12-13T15:06:13.880000,6,9,S,X,ST5 
2000-12-13T15:06:06.590000,6,10,P,X,ST6 
2000-12-13T15:06:10.540000,6,11,S,X,ST6 
2000-12-13T15:06:06.530000,6,12,P,X,ST8 
2000-12-13T15:06:08.630000,6,13,P,X,ST10
2000-12-13T15:06:17.490000,6,14,S,X,ST11
2000-12-13T15:06:06.860000,6,15,P,X,ST12
2000-12-13T15:06:10.940000,6,16,S,X,ST12
2000-12-13T15:06:03.150000,6,17,P,X,ST13
2000-12-13T15:06:04.650000,6,18,S,X,ST13
2000-12-13T15:06:05.120000,6,19,P,X,ST14
2000-12-13T15:06:04.390000,6,20,S,X,ST15
2000-12-13T15:06:08.140000,6,21,S,X,ST16
2000-12-13T15:06:05.560000,6,22,P,X,ST17
2000-12-13T15:06:03.160000,6,23,P,X,ST18
2000-12-13T15:06:04.680000,6,24,S,X,ST18
2000-12-13T15:06:02.700000,6,25,P,X,ST19
2000-12-13T15:06:03.880000,6,26,S,X,ST19
2000-12-13T15:06:06.510000,6,27,P,X,ST20
2000-12-13T15:06:10.480000,6,28,S,X,ST20
2000-12-13T15:06:03.960000,6,29,P,X,ST21
2000-12-13T15:06:10.740000,6,30,S,X,ST22
2000-12-13T15:06:03.080000,6,31,P,X,ST23
2000-12-13T15:06:06.440000,6,32,S,X,ST24
2000-12-13T15:06:04.090000,6,33,P,X,ST26
2000-12-13T15:06:06.240000,6,34,S,X,ST26
2000-12-13T15:07:02.820000,7,1,P,X,ST0 
2000-12-13T15:07:04.120000,7,2,S,X,ST0 
2000-12-13T15:07:07.820000,7,3,P,X,ST1 
2000-12-13T15:07:12.480000,7,4,S,X,ST1 
2000-12-13T15:07:14.300000,7,5,P,X,ST2 
2000-12-13T15:07:11.810000,7,6,P,X,ST3 
2000-12-13T15:07:07.250000,7,7,P,X,ST4 
2000-12-13T15:07:11.530000,7,8,S,X,ST4 
2000-12-13T15:07:10.820000,7,9,P,X,ST5 
2000-12-13T15:07:07.460000,7,10,P,X,ST6 
2000-12-13T15:07:12.090000,7,11,S,X,ST6 
2000-12-13T15:07:09.940000,7,12,P,X,ST8 
2000-12-13T15:07:11.780000,7,13,P,X,ST10
2000-12-13T15:07:13.720000,7,14,P,X,ST11
2000-12-13T15:07:09.880000,7,15,P,X,ST12
2000-12-13T15:07:15.910000,7,16,S,X,ST12
2000-12-13T15:07:06.540000,7,17,S,X,ST13
2000-12-13T15:07:06.330000,7,18,P,X,ST14
2000-12-13T15:07:05.510000,7,19,P,X,ST15
2000-12-13T15:07:05.690000,7,20,P,X,ST16
2000-12-13T15:07:02.770000,7,21,P,X,ST17
2000-12-13T15:07:04.070000,7,22,S,X,ST17
2000-12-13T15:07:15.950000,7,23,S,X,ST20
2000-12-13T15:07:07.260000,7,24,P,X,ST21
2000-12-13T15:07:11.540000,7,25,S,X,ST21
2000-12-13T15:07:09.920000,7,26,P,X,ST22
2000-12-13T15:07:16.120000,7,27,S,X,ST22
2000-12-13T15:07:06.370000,7,28,P,X,ST23
2000-12-13T15:07:10.030000,7,29,S,X,ST23
2000-12-13T15:07:03.050000,7,30,P,X,ST24
2000-12-13T15:07:06.500000,7,31,P,X,ST25
2000-12-13T15:07:10.300000,7,32,S,X,ST25
2000-12-13T15:07:03.390000,7,33,P,X,ST26
2000-12-13T15:08:21.740000,8,1,S,X,ST0 
2000-12-13T15:08:11.880000,8,2,S,X,ST1 
2000-12-13T15:08:07.390000,8,3,P,X,ST2 
2000-12-13T15:08:04.900000,8,4,S,X,ST3 
2000-12-13T15:08:11.570000,8,5,P,X,ST4 
2000-12-13T15:08:19.120000,8,6,S,X,ST4 
2000-12-13T15:08:07.350000,8,7,P,X,ST5 
2000-12-13T15:08:12.190000,8,8,S,X,ST5 
2000-12-13T15:08:10.290000,8,9,P,X,ST6 
2000-12-13T15:08:16.810000,8,10,S,X,ST6 
2000-12-13T15:08:08.340000,8,11,P,X,ST7 
2000-12-13T15:08:13.720000,8,12,S,X,ST7 
2000-12-13T15:08:06.700000,8,13,P,X,ST8 
2000-12-13T15:08:09.560000,8,14,P,X,ST9 
2000-12-13T15:08:03.020000,8,15,P,X,ST11
2000-12-13T15:08:04.610000,8,16,S,X,ST11
2000-12-13T15:08:10.550000,8,17,P,X,ST13
2000-12-13T15:08:09.560000,8,18,P,X,ST14
2000-12-13T15:08:15.550000,8,19,S,X,ST14
2000-12-13T15:08:09.910000,8,20,P,X,ST15
2000-12-13T15:08:12.190000,8,21,P,X,ST16
2000-12-13T15:08:20.190000,8,22,S,X,ST16
2000-12-13T15:08:13.000000,8,23,P,X,ST17
2000-12-13T15:08:21.530000,8,24,S,X,ST17
2000-12-13T15:08:10.810000,8,25,P,X,ST18
2000-12-13T15:08:17.880000,8,26,S,X,ST18
2000-12-13T15:08:16.980000,8,27,S,X,ST19
2000-12-13T15:08:05.630000,8,28,P,X,ST20
2000-12-13T15:08:08.870000,8,29,S,X,ST20
2000-12-13T15:08:07.910000,8,30,P,X,ST21
2000-12-13T15:08:12.840000,8,31,S,X,ST21
2000-12-13T15:08:08.440000,8,32,S,X,ST22
2000-12-13T15:08:08.630000,8,33,P,X,ST23
2000-12-13T15:08:14.130000,8,34,S,X,ST23
2000-12-13T15:08:11.900000,8,35,P,X,ST24
2000-12-13T15:08:08.710000,8,36,P,X,ST25
2000-12-13T15:08:14.310000,8,37,S,X,ST25
2000-12-13T15:08:11.910000,8,38,P,X,ST26
2000-12-13T15:09:10.520000,9,1,P,X,ST0 
2000-12-13T15:09:17.140000,9,2,S,X,ST0 
2000-12-13T15:09:04.590000,9,3,P,X,ST1 
2000-12-13T15:09:06.980000,9,4,S,X,ST1 
2000-12-13T15:09:07.590000,9,5,P,X,ST2 
2000-12-13T15:09:12.270000,9,6,S,X,ST2 
2000-12-13T15:09:03.700000,9,7,P,X,ST3 
2000-12-13T15:09:07.600000,9,8,P,X,ST6 
2000-12-13T15:09:12.070000,9,9,S,X,ST6 
2000-12-13T15:09:06.480000,9,10,P,X,ST7 
2000-12-13T15:09:04.950000,9,11,P,X,ST8 
2000-12-13T15:09:08.280000,9,12,P,X,ST9 
2000-12-13T15:09:13.370000,9,13,S,X,ST9 
2000-12-13T15:09:03.540000,9,14,P,X,ST10
2000-12-13T15:09:05.330000,9,15,S,X,ST10
2000-12-13T15:09:09.100000,9,16,S,X,ST11
2000-12-13T15:09:02.360000,9,17,P,X,ST12
2000-12-13T15:09:07.770000,9,18,P,X,ST13
2000-12-13T15:09:07.500000,9,19,P,X,ST15
2000-12-13T15:09:12.170000,9,20,S,X,ST15
2000-12-13T15:09:16.360000,9,21,S,X,ST16
2000-12-13T15:09:10.220000,9,22,P,X,ST17
2000-12-13T15:09:16.630000,9,23,S,X,ST17
2000-12-13T15:09:08.300000,9,24,P,X,ST18
2000-12-13T15:09:07.650000,9,25,P,X,ST19
2000-12-13T15:09:05.280000,9,26,P,X,ST21
2000-12-13T15:09:08.180000,9,27,S,X,ST21
2000-12-13T15:09:02.550000,9,28,P,X,ST22
2000-12-13T15:09:06.070000,9,29,P,X,ST23
2000-12-13T15:09:10.030000,9,30,S,X,ST25
2000-12-13T15:09:09.260000,9,31,P,X,ST26
2000-12-13T15:09:15.030000,9,32,S,X,ST26
2000-12-13T15:10:05.670000,10,1,P,X,ST0 
2000-12-13T15:10:09.550000,10,2,S,X,ST1 
2000-12-13T15:10:13.320000,10,3,P,X,ST2 
2000-12-13T15:10:22.020000,10,4,S,X,ST2 
2000-12-13T15:10:09.210000,10,5,P,X,ST3 
2000-12-13T15:10:05.860000,10,6,S,X,ST4 
2000-12-13T15:10:10.260000,10,7,P,X,ST5 
2000-12-13T15:10:08.510000,10,8,P,X,ST6 
2000-12-13T15:10:04.860000,10,9,P,X,ST7 
2000-12-13T15:10:06.900000,10,10,P,X,ST8 
2000-12-13T15:10:06.100000,10,11,P,X,ST9 
2000-12-13T15:10:11.310000,10,12,P,X,ST11
2000-12-13T15:10:08.090000,10,13,P,X,ST12
2000-12-13T15:10:07.330000,10,14,S,X,ST13
2000-12-13T15:10:07.040000,10,15,P,X,ST14
2000-12-13T15:10:11.260000,10,16,S,X,ST14
2000-12-13T15:10:02.840000,10,17,P,X,ST15
2000-12-13T15:10:03.750000,10,18,P,X,ST16
2000-12-13T15:10:06.550000,10,19,P,X,ST17
2000-12-13T15:10:10.460000,10,20,S,X,ST17
2000-12-13T15:10:03.440000,10,21,P,X,ST18
2000-12-13T15:10:11.980000,10,22,S,X,ST20
2000-12-13T15:10:08.160000,10,23,S,X,ST21
2000-12-13T15:10:04.300000,10,24,P,X,ST23
2000-12-13T15:10:05.150000,10,25,P,X,ST24
2000-12-13T15:10:08.080000,10,26,S,X,ST24
2000-12-13T15:10:06.000000,10,27,S,X,ST25
2000-12-13T15:10:04.600000,10,28,P,X,ST26
2000-12-13T15:11:16.770000,11,1,S,X,ST0 
2000-12-13T15:11:04.370000,11,2,P,X,ST1 
2000-12-13T15:11:12.310000,11,3,S,X,ST2 
2000-12-13T15:11:09.540000,11,4,P,X,ST4 
2000-12-13T15:11:05.500000,11,5,P,X,ST5 
2000-12-13T15:11:08.640000,11,6,S,X,ST5 
2000-12-13T15:11:07.360000,11,7,P,X,ST6 
2000-12-13T15:11:06.410000,11,8,P,X,ST7 
2000-12-13T15:11:08.270000,11,9,P,X,ST9 
2000-12-13T15:11:13.360000,11,10,S,X,ST9 
2000-12-13T15:11:05.740000,11,11,S,X,ST10
2000-12-13T15:11:05.840000,11,12,P,X,ST11
2000-12-13T15:11:09.480000,11,13,S,X,ST11
2000-12-13T15:11:07.560000,11,14,P,X,ST13
2000-12-13T15:11:10.180000,11,15,S,X,ST14
2000-12-13T15:11:11.910000,11,16,S,X,ST15
2000-12-13T15:11:16.130000,11,17,S,X,ST16
2000-12-13T15:11:09.990000,11,18,P,X,ST17
2000-12-13T15:11:16.240000,11,19,S,X,ST17
2000-12-13T15:11:08.110000,11,20,P,X,ST18
2000-12-13T15:11:12.010000,11,21,S,X,ST19
2000-12-13T15:11:02.890000,11,22,P,X,ST20
2000-12-13T15:11:04.190000,11,23,S,X,ST20
2000-12-13T15:11:07.830000,11,24,S,X,ST21
2000-12-13T15:11:02.530000,11,25,P,X,ST22
2000-12-13T15:11:05.880000,11,26,P,X,ST23
2000-12-13T15:11:08.960000,11,27,P,X,ST24
2000-12-13T15:11:14.510000,11,28,S,X,ST24
2000-12-13T15:11:06.130000,11,29,P,X,ST25
2000-12-13T15:11:09.780000,11,30,S,X,ST25
2000-12-13T15:11:09.040000,11,31,P,X,ST26
2000-12-13T15:12:05.880000,12,1,P,X,ST0 
2000-12-13T15:12:09.380000,12,2,S,X,ST0 
2000-12-13T15:12:22.130000,12,3,S,X,ST2 
2000-12-13T15:12:15.130000,12,4,S,X,ST3 
2000-12-13T15:12:03.760000,12,5,P,X,ST4 
2000-12-13T15:12:17.010000,12,6,S,X,ST5 
2000-12-13T15:12:08.650000,12,7,P,X,ST6 
2000-12-13T15:12:14.090000,12,8,S,X,ST6 
2000-12-13T15:12:04.730000,12,9,P,X,ST7 
2000-12-13T15:12:06.860000,12,10,P,X,ST8 
2000-12-13T15:12:09.530000,12,11,P,X,ST10
2000-12-13T15:12:11.290000,12,12,P,X,ST11
2000-12-13T15:12:18.940000,12,13,S,X,ST11
2000-12-13T15:12:08.110000,12,14,P,X,ST12
2000-12-13T15:12:04.840000,12,15,P,X,ST13
2000-12-13T15:12:02.720000,12,16,P,X,ST15
2000-12-13T15:12:05.690000,12,17,S,X,ST16
2000-12-13T15:12:06.750000,12,18,P,X,ST17
2000-12-13T15:12:05.310000,12,19,S,X,ST18
2000-12-13T15:12:03.960000,12,20,P,X,ST19
2000-12-13T15:12:06.120000,12,21,S,X,ST19
2000-12-13T15:12:07.390000,12,22,P,X,ST20
2000-12-13T15:12:08.220000,12,23,S,X,ST21
2000-12-13T15:12:07.600000,12,24,P,X,ST22
2000-12-13T15:12:06.700000,12,25,S,X,ST23
2000-12-13T15:12:05.320000,12,26,P,X,ST24
2000-12-13T15:12:08.420000,12,27,S,X,ST24
2000-12-13T15:12:03.780000,12,28,P,X,ST25
2000-12-13T15:12:05.870000,12,29,S,X,ST25
2000-12-13T15:12:04.760000,12,30,P,X,ST26
2000-12-13T15:13:04.000000,13,1,P,X,ST1 
2000-12-13T15:13:06.000000,13,2,S,X,ST1 
2000-12-13T15:13:13.110000,13,3,S,X,ST2 
2000-12-13T15:13:04.320000,13,4,P,X,ST3 
2000-12-13T15:13:09.190000,13,5,P,X,ST4 
2000-12-13T15:13:05.830000,13,6,P,X,ST5 
2000-12-13T15:13:09.180000,13,7,S,X,ST5 
2000-12-13T15:13:11.610000,13,8,S,X,ST6 
2000-12-13T15:13:06.050000,13,9,P,X,ST7 
2000-12-13T15:13:07.980000,13,10,P,X,ST9 
2000-12-13T15:13:12.900000,13,11,S,X,ST9 
2000-12-13T15:13:10.190000,13,12,S,X,ST11
2000-12-13T15:13:02.500000,13,13,P,X,ST12
2000-12-13T15:13:03.490000,13,14,S,X,ST12
2000-12-13T15:13:07.270000,13,15,P,X,ST13
2000-12-13T15:13:06.370000,13,16,P,X,ST14
2000-12-13T15:13:09.470000,13,17,P,X,ST16
2000-12-13T15:13:15.520000,13,18,S,X,ST16
2000-12-13T15:13:09.720000,13,19,P,X,ST17
2000-12-13T15:13:15.810000,13,20,S,X,ST17
2000-12-13T15:13:07.760000,13,21,P,X,ST18
2000-12-13T15:13:07.110000,13,22,P,X,ST19
2000-12-13T15:13:04.680000,13,23,P,X,ST21
2000-12-13T15:13:07.190000,13,24,S,X,ST21
2000-12-13T15:13:02.230000,13,25,P,X,ST22
2000-12-13T15:13:05.540000,13,26,P,X,ST23
2000-12-13T15:13:08.700000,13,27,S,X,ST23
2000-12-13T15:13:08.670000,13,28,P,X,ST24
2000-12-13T15:13:14.030000,13,29,S,X,ST24
2000-12-13T15:13:09.150000,13,30,S,X,ST25
2000-12-13T15:14:05.020000,14,1,P,X,ST0 
2000-12-13T15:14:07.790000,14,2,S,X,ST0 
2000-12-13T15:14:07.760000,14,3,S,X,ST1 
2000-12-13T15:14:12.040000,14,4,P,X,ST2 
2000-12-13T15:14:19.520000,14,5,S,X,ST2 
2000-12-13T15:14:08.990000,14,6,P,X,ST3 
2000-12-13T15:14:14.640000,14,7,S,X,ST3 
2000-12-13T15:14:06.240000,14,8,P,X,ST4 
2000-12-13T15:14:09.880000,14,9,S,X,ST4 
2000-12-13T15:14:13.910000,14,10,S,X,ST5 
2000-12-13T15:14:05.960000,14,11,P,X,ST7 
2000-12-13T15:14:09.020000,14,12,P,X,ST10
2000-12-13T15:14:03.440000,14,13,S,X,ST13
2000-12-13T15:14:07.400000,14,14,S,X,ST14
2000-12-13T15:14:03.320000,14,15,P,X,ST15
2000-12-13T15:14:04.930000,14,16,S,X,ST15
2000-12-13T15:14:05.440000,14,17,P,X,ST16
2000-12-13T15:14:05.010000,14,18,P,X,ST17
2000-12-13T15:14:03.000000,14,19,P,X,ST18
2000-12-13T15:14:03.150000,14,20,S,X,ST19
2000-12-13T15:14:06.970000,14,21,P,X,ST20
2000-12-13T15:14:04.360000,14,22,P,X,ST21
2000-12-13T15:14:06.670000,14,23,S,X,ST21
2000-12-13T15:14:11.420000,14,24,S,X,ST22
2000-12-13T15:14:05.100000,14,25,S,X,ST23
2000-12-13T15:14:03.650000,14,26,P,X,ST24
2000-12-13T15:14:03.680000,14,27,P,X,ST25
2000-12-13T15:14:03.690000,14,28,P,X,ST26
2000-12-13T15:15:05.770000,15,1,P,X,ST0 
2000-12-13T15:15:09.060000,15,2,S,X,ST0 
2000-12-13T15:15:04.180000,15,3,P,X,ST1 
2000-12-13T15:15:06.400000,15,4,S,X,ST1 
2000-12-13T15:15:18.340000,15,5,S,X,ST2 
2000-12-13T15:15:06.380000,15,6,P,X,ST4 
2000-12-13T15:15:12.810000,15,7,S,X,ST5 
2000-12-13T15:15:06.060000,15,8,P,X,ST6 
2000-12-13T15:15:09.660000,15,9,S,X,ST6 
2000-12-13T15:15:05.420000,15,10,P,X,ST7 
2000-12-13T15:15:06.340000,15,11,P,X,ST8 
2000-12-13T15:15:10.420000,15,12,S,X,ST8 
2000-12-13T15:15:07.530000,15,13,P,X,ST9 
2000-12-13T15:15:13.270000,15,14,S,X,ST10
2000-12-13T15:15:10.100000,15,15,P,X,ST11
2000-12-13T15:15:16.820000,15,16,S,X,ST11
2000-12-13T15:15:06.350000,15,17,P,X,ST12
2000-12-13T15:15:10.060000,15,18,S,X,ST12
2000-12-13T15:15:04.700000,15,19,S,X,ST13
2000-12-13T15:15:05.270000,15,20,S,X,ST15
2000-12-13T15:15:08.960000,15,21,S,X,ST17
2000-12-13T15:15:04.400000,15,22,S,X,ST19
2000-12-13T15:15:06.120000,15,23,P,X,ST20
2000-12-13T15:15:09.800000,15,24,S,X,ST20
2000-12-13T15:15:03.600000,15,25,P,X,ST21
2000-12-13T15:15:02.880000,15,26,P,X,ST23
2000-12-13T15:15:06.900000,15,27,S,X,ST24
2000-12-13T15:15:03.240000,15,28,P,X,ST25
2000-12-13T15:15:04.820000,15,29,S,X,ST25
2000-12-13T15:15:04.500000,15,30,P,X,ST26
2000-12-13T15:16:05.450000,16,1,P,X,ST0 
2000-12-13T15:16:04.970000,16,2,P,X,ST1 
2000-12-13T15:16:12.170000,16,3,P,X,ST2 
2000-12-13T15:16:14.800000,16,4,S,X,ST3 
2000-12-13T15:16:06.390000,16,5,P,X,ST4 
2000-12-13T15:16:10.140000,16,6,S,X,ST4 
2000-12-13T15:16:08.770000,16,7,P,X,ST5 
2000-12-13T15:16:14.150000,16,8,S,X,ST5 
2000-12-13T15:16:06.520000,16,9,P,X,ST6 
2000-12-13T15:16:10.400000,16,10,S,X,ST6 
2000-12-13T15:16:05.990000,16,11,P,X,ST7 
2000-12-13T15:16:08.050000,16,12,P,X,ST9 
2000-12-13T15:16:14.860000,16,13,S,X,ST10
2000-12-13T15:16:11.610000,16,14,S,X,ST12
2000-12-13T15:16:02.400000,16,15,P,X,ST13
2000-12-13T15:16:05.030000,16,16,P,X,ST14
2000-12-13T15:16:03.140000,16,17,P,X,ST15
2000-12-13T15:16:04.620000,16,18,S,X,ST15
2000-12-13T15:16:08.810000,16,19,S,X,ST16
2000-12-13T15:16:05.460000,16,20,P,X,ST17
2000-12-13T15:16:08.580000,16,21,S,X,ST17
2000-12-13T15:16:02.950000,16,22,P,X,ST18
2000-12-13T15:16:04.320000,16,23,S,X,ST18
2000-12-13T15:16:02.020000,16,24,P,X,ST19
2000-12-13T15:16:02.740000,16,25,S,X,ST19
2000-12-13T15:16:07.040000,16,26,P,X,ST20
2000-12-13T15:16:11.350000,16,27,S,X,ST20
2000-12-13T15:16:04.220000,16,28,P,X,ST21
2000-12-13T15:16:06.430000,16,29,S,X,ST21
2000-12-13T15:16:07.170000,16,30,P,X,ST22
2000-12-13T15:16:03.150000,16,31,P,X,ST23
2000-12-13T15:16:05.960000,16,32,S,X,ST24
2000-12-13T15:16:03.470000,16,33,P,X,ST25
