evid,latitude,longitude,depth,time,mag
130,35.5620,-117.3292,3.4560,2000-12-13T17:10:01.000000,1.0
131,35.7069,-117.5044,5.2880,2000-12-13T17:11:01.000000,1.0
132,35.8905,-117.7310,6.6770,2000-12-13T17:12:01.000000,1.0
133,35.6148,-117.4147,5.0200,2000-12-13T17:13:01.000000,1.0
134,36.0517,-117.8494,2.8830,2000-12-13T17:14:01.000000,1.0
135,35.6197,-117.4389,6.9800,2000-12-13T17:15:01.000000,1.0
136,35.5690,-117.5993,6.2150,2000-12-13T17:16:01.000000,1.0
137,35.5939,-117.4255,6.0040,2000-12-13T17:17:01.000000,1.0
138,35.8272,-117.6594,5.0020,2000-12-13T17:18:01.000000,1.0
139,35.6180,-117.4209,6.7920,2000-12-13T17:19:01.000000,1.0
140,35.8836,-117.6900,7.4350,2000-12-13T17:20:01.000000,1.0
141,35.7175,-117.5580,6.4010,2000-12-13T17:21:01.000000,1.0
142,35.6478,-117.4641,2.3170,2000-12-13T17:22:01.000000,1.0
143,35.7004,-117.5910,7.6650,2000-12-13T17:23:01.000000,1.0
144,35.9058,-117.7154,8.0810,2000-12-13T17:24:01.000000,1.0
145,35.7087,-117.5782,7.8500,2000-12-13T17:25:01.000000,1.0
146,35.9188,-117.7318,4.3820,2000-12-13T17:26:01.000000,1.0
147,35.6077,-117.4592,3.9980,2000-12-13T17:27:01.000000,1.0
148,35.8928,-117.7058,7.1200,2000-12-13T17:28:01.000000,1.0
149,35.6709,-117.4823,4.5470,2000-12-13T17:29:01.000000,1.0
150,35.8981,-117.6862,4.5120,2000-12-13T17:30:01.000000,1.0
151,35.8910,-117.6780,4.7620,2000-12-13T17:31:01.000000,1.0
152,35.9380,-117.6976,4.3650,2000-12-13T17:32:01.000000,1.0
153,35.8888,-117.6818,6.0590,2000-12-13T17:33:01.000000,1.0
154,35.9244,-117.7153,4.0220,2000-12-13T17:34:01.000000,1.0
155,35.9231,-117.7252,6.3990,2000-12-13T17:35:01.000000,1.0
156,35.5754,-117.6213,5.7460,2000-12-13T17:36:01.000000,1.0
157,35.5916,-117.4237,4.9000,2000-12-13T17:37:01.000000,1.0
158,35.6269,-117.4286,3.8510,2000-12-13T17:38:01.000000,1.0
159,35.8779,-117.7131,4.3500,2000-12-13T17:39:01.000000,1.0
160,35.7447,-117.5352,6.4760,2000-12-13T17:40:01.000000,1.0
161,35.6786,-117.5373,9.8160,2000-12-13T17:41:01.000000,1.0
162,35.6659,-117.4891,4.2600,2000-12-13T17:42:01.000000,1.0
163,35.9621,-117.7134,3.7420,2000-12-13T17:43:01.000000,1.0
164,35.9046,-117.7512,6.9210,2000-12-13T17:44:01.000000,1.0
165,35.9290,-117.7203,3.9380,2000-12-13T17:45:01.000000,1.0
166,35.7533,-117.5677,7.9830,2000-12-13T17:46:01.000000,1.0
167,36.0548,-117.8488,3.3570,2000-12-13T17:47:01.000000,1.0
168,36.0561,-117.8528,3.7580,2000-12-13T17:48:01.000000,1.0
169,35.7159,-117.5311,5.8290,2000-12-13T17:49:01.000000,1.0
170,35.5763,-117.6202,5.7110,2000-12-13T17:50:01.000000,1.0
171,35.6788,-117.4818,0.7070,2000-12-13T17:51:01.000000,1.0
172,35.9074,-117.7157,3.9390,2000-12-13T17:52:01.000000,1.0
173,35.6698,-117.4824,0.2380,2000-12-13T17:53:01.000000,1.0
174,35.6612,-117.5295,9.3020,2000-12-13T17:54:01.000000,1.0
175,35.7272,-117.5426,7.2430,2000-12-13T17:55:01.000000,1.0
176,35.7533,-117.5748,5.9760,2000-12-13T17:56:01.000000,1.0
177,35.9137,-117.6935,5.0090,2000-12-13T17:57:01.000000,1.0
178,35.6637,-117.4882,3.3360,2000-12-13T17:58:01.000000,1.0
179,35.9589,-117.7031,4.2570,2000-12-13T17:59:01.000000,1.0
180,35.5888,-117.4196,5.1850,2000-12-13T18:00:01.000000,1.0
181,35.9080,-117.7484,5.8680,2000-12-13T18:01:01.000000,1.0
182,35.9322,-117.7156,6.3470,2000-12-13T18:02:01.000000,1.0
183,35.6903,-117.5096,6.4800,2000-12-13T18:03:01.000000,1.0
184,35.9721,-117.6620,3.7870,2000-12-13T18:04:01.000000,1.0
185,35.9301,-117.6805,3.4510,2000-12-13T18:05:01.000000,1.0
186,35.8837,-117.6899,7.4120,2000-12-13T18:06:01.000000,1.0
187,35.9442,-117.6953,3.7720,2000-12-13T18:07:01.000000,1.0
188,35.9349,-117.7022,4.4080,2000-12-13T18:08:01.000000,1.0
189,35.9185,-117.7322,6.4270,2000-12-13T18:09:01.000000,1.0
190,35.7170,-117.5569,5.9210,2000-12-13T18:10:01.000000,1.0
191,35.6033,-117.5786,4.6140,2000-12-13T18:11:01.000000,1.0
192,35.8915,-117.6776,4.7310,2000-12-13T18:12:01.000000,1.0
193,35.8753,-117.6906,7.4370,2000-12-13T18:13:01.000000,1.0
194,35.9712,-117.6623,3.6720,2000-12-13T18:14:01.000000,1.0
195,35.6814,-117.5178,8.4080,2000-12-13T18:15:01.000000,1.0
196,35.6645,-117.4598,6.7780,2000-12-13T18:16:01.000000,1.0
197,35.6271,-117.4714,5.2370,2000-12-13T18:17:01.000000,1.0
198,35.6690,-117.5130,7.9370,2000-12-13T18:18:01.000000,1.0
199,35.8862,-117.6763,7.2310,2000-12-13T18:19:01.000000,1.0
200,36.0472,-117.8529,3.5730,2000-12-13T18:20:01.000000,1.0
201,35.6562,-117.4873,2.9710,2000-12-13T18:21:01.000000,1.0
202,35.6543,-117.5004,4.7300,2000-12-13T18:22:01.000000,1.0
203,35.8912,-117.6775,4.5680,2000-12-13T18:23:01.000000,1.0
204,35.7026,-117.5074,6.5790,2000-12-13T18:24:01.000000,1.0
205,35.9060,-117.7273,4.6530,2000-12-13T18:25:01.000000,1.0
206,35.8896,-117.6765,4.0500,2000-12-13T18:26:01.000000,1.0
207,35.9736,-117.6647,3.4710,2000-12-13T18:27:01.000000,1.0
208,35.7518,-117.5763,6.4320,2000-12-13T18:28:01.000000,1.0
209,35.9269,-117.7179,4.3410,2000-12-13T18:29:01.000000,1.0
210,35.9191,-117.7278,4.1450,2000-12-13T18:30:01.000000,1.0
211,35.7231,-117.5521,5.4400,2000-12-13T18:31:01.000000,1.0
212,35.9695,-117.6631,3.4050,2000-12-13T18:32:01.000000,1.0
213,35.9148,-117.7145,3.8200,2000-12-13T18:33:01.000000,1.0
214,35.5968,-117.5995,5.0210,2000-12-13T18:34:01.000000,1.0
215,35.5712,-117.5986,6.3350,2000-12-13T18:35:01.000000,1.0
216,35.9564,-117.7079,4.3250,2000-12-13T18:36:01.000000,1.0
217,36.0510,-117.8444,3.6010,2000-12-13T18:37:01.000000,1.0
218,35.9265,-117.7042,4.2230,2000-12-13T18:38:01.000000,1.0
219,35.7147,-117.5455,5.1780,2000-12-13T18:39:01.000000,1.0
220,35.6561,-117.4852,3.6630,2000-12-13T18:40:01.000000,1.0
221,35.9480,-117.6900,2.9100,2000-12-13T18:41:01.000000,1.0
222,35.9049,-117.7506,7.0070,2000-12-13T18:42:01.000000,1.0
223,35.9009,-117.6799,3.4370,2000-12-13T18:43:01.000000,1.0
224,36.0593,-117.8419,3.6090,2000-12-13T18:44:01.000000,1.0
225,36.0561,-117.8494,3.8960,2000-12-13T18:45:01.000000,1.0
226,35.6743,-117.5387,7.9350,2000-12-13T18:46:01.000000,1.0
227,35.8772,-117.6980,6.6970,2000-12-13T18:47:01.000000,1.0
228,35.9099,-117.7227,4.8610,2000-12-13T18:48:01.000000,1.0
229,36.0462,-117.8494,3.9990,2000-12-13T18:49:01.000000,1.0
230,35.9211,-117.7124,6.5130,2000-12-13T18:50:01.000000,1.0
231,35.6051,-117.4660,4.4640,2000-12-13T18:51:01.000000,1.0
232,35.5775,-117.3622,4.7360,2000-12-13T18:52:01.000000,1.0
233,35.5777,-117.6229,5.8700,2000-12-13T18:53:01.000000,1.0
234,35.9028,-117.7009,7.5020,2000-12-13T18:54:01.000000,1.0
235,35.6850,-117.4893,1.0960,2000-12-13T18:55:01.000000,1.0
236,35.6050,-117.5883,4.4150,2000-12-13T18:56:01.000000,1.0
237,35.6087,-117.4385,6.2840,2000-12-13T18:57:01.000000,1.0
238,35.8738,-117.6964,7.7640,2000-12-13T18:58:01.000000,1.0
239,35.8841,-117.6708,3.0310,2000-12-13T18:59:01.000000,1.0
240,35.6788,-117.5241,8.2540,2000-12-13T19:00:01.000000,1.0
241,35.7732,-117.5784,6.8330,2000-12-13T19:01:01.000000,1.0
242,35.9847,-117.6734,2.4530,2000-12-13T19:02:01.000000,1.0
243,35.6328,-117.4377,4.8080,2000-12-13T19:03:01.000000,1.0
244,35.9622,-117.7104,4.1140,2000-12-13T19:04:01.000000,1.0
245,35.9630,-117.7123,3.8830,2000-12-13T19:05:01.000000,1.0
246,35.9176,-117.7059,4.5470,2000-12-13T19:06:01.000000,1.0
247,35.9704,-117.6618,3.5780,2000-12-13T19:07:01.000000,1.0
248,35.9234,-117.7001,4.5680,2000-12-13T19:08:01.000000,1.0
249,35.6812,-117.5163,9.1600,2000-12-13T19:09:01.000000,1.0
250,35.6677,-117.4830,5.4250,2000-12-13T19:10:01.000000,1.0
251,35.7009,-117.5444,8.0050,2000-12-13T19:11:01.000000,1.0
252,35.8900,-117.7310,6.6560,2000-12-13T19:12:01.000000,1.0
253,35.6823,-117.4731,8.2400,2000-12-13T19:13:01.000000,1.0
254,35.6732,-117.4784,4.8960,2000-12-13T19:14:01.000000,1.0
255,35.5908,-117.3991,7.3540,2000-12-13T19:15:01.000000,1.0
256,35.9412,-117.6777,4.4470,2000-12-13T19:16:01.000000,1.0
257,35.6819,-117.4894,2.2360,2000-12-13T19:17:01.000000,1.0
258,35.7428,-117.5699,3.3080,2000-12-13T19:18:01.000000,1.0
259,35.7343,-117.5340,6.1490,2000-12-13T19:19:01.000000,1.0
260,35.9005,-117.6724,3.9990,2000-12-13T19:20:01.000000,1.0
261,35.9231,-117.7382,4.8140,2000-12-13T19:21:01.000000,1.0
262,35.6102,-117.4129,4.5150,2000-12-13T19:22:01.000000,1.0
263,35.9163,-117.7329,7.0950,2000-12-13T19:23:01.000000,1.0
264,35.8808,-117.7090,4.5680,2000-12-13T19:24:01.000000,1.0
265,35.5962,-117.4222,5.4610,2000-12-13T19:25:01.000000,1.0
266,35.7025,-117.5104,5.6940,2000-12-13T19:26:01.000000,1.0
267,36.0576,-117.8474,3.4970,2000-12-13T19:27:01.000000,1.0
268,35.7311,-117.5430,6.5870,2000-12-13T19:28:01.000000,1.0
269,35.6231,-117.4254,4.9880,2000-12-13T19:29:01.000000,1.0
270,35.9187,-117.7278,4.0620,2000-12-13T19:30:01.000000,1.0
271,35.6367,-117.4387,4.2600,2000-12-13T19:31:01.000000,1.0
272,35.6823,-117.5258,7.7000,2000-12-13T19:32:01.000000,1.0
273,35.6572,-117.4812,5.9670,2000-12-13T19:33:01.000000,1.0
274,35.6506,-117.4588,1.1720,2000-12-13T19:34:01.000000,1.0
275,35.6410,-117.4434,3.3280,2000-12-13T19:35:01.000000,1.0
276,35.9245,-117.7140,3.7000,2000-12-13T19:36:01.000000,1.0
277,35.9715,-117.6633,3.4920,2000-12-13T19:37:01.000000,1.0
278,35.6145,-117.4193,4.2530,2000-12-13T19:38:01.000000,1.0
279,35.9598,-117.7033,4.3470,2000-12-13T19:39:01.000000,1.0
280,35.8784,-117.6803,5.0950,2000-12-13T19:40:01.000000,1.0
281,35.6536,-117.4679,5.1250,2000-12-13T19:41:01.000000,1.0
282,35.5787,-117.6183,5.8670,2000-12-13T19:42:01.000000,1.0
283,35.6061,-117.4348,5.5230,2000-12-13T19:43:01.000000,1.0
284,35.5882,-117.4204,5.4120,2000-12-13T19:44:01.000000,1.0
285,35.7381,-117.5647,4.2260,2000-12-13T19:45:01.000000,1.0
286,35.9812,-117.6765,0.8060,2000-12-13T19:46:01.000000,1.0
287,35.8836,-117.6704,7.8690,2000-12-13T19:47:01.000000,1.0
288,35.8982,-117.7169,5.7090,2000-12-13T19:48:01.000000,1.0
289,35.9576,-117.7021,4.5920,2000-12-13T19:49:01.000000,1.0
290,35.7135,-117.4881,5.2940,2000-12-13T19:50:01.000000,1.0
291,35.6264,-117.4264,5.8250,2000-12-13T19:51:01.000000,1.0
292,35.6789,-117.4852,1.2410,2000-12-13T19:52:01.000000,1.0
293,35.9145,-117.6904,4.4080,2000-12-13T19:53:01.000000,1.0
294,35.8999,-117.6996,6.7390,2000-12-13T19:54:01.000000,1.0
295,35.9218,-117.7087,3.8900,2000-12-13T19:55:01.000000,1.0
296,35.6958,-117.5340,9.0330,2000-12-13T19:56:01.000000,1.0
297,35.9243,-117.6951,4.2700,2000-12-13T19:57:01.000000,1.0
298,35.6887,-117.5256,7.9090,2000-12-13T19:58:01.000000,1.0
299,35.7137,-117.5229,4.4640,2000-12-13T19:59:01.000000,1.0
300,35.7005,-117.5313,8.8410,2000-12-13T20:00:01.000000,1.0
301,35.7097,-117.5813,6.0230,2000-12-13T20:01:01.000000,1.0
302,35.6264,-117.4197,4.9430,2000-12-13T20:02:01.000000,1.0
303,35.7608,-117.5751,7.7700,2000-12-13T20:03:01.000000,1.0
304,35.9808,-117.6688,2.9080,2000-12-13T20:04:01.000000,1.0
305,35.8844,-117.6756,4.9130,2000-12-13T20:05:01.000000,1.0
306,35.6403,-117.4440,3.5060,2000-12-13T20:06:01.000000,1.0
307,35.9150,-117.6938,4.6850,2000-12-13T20:07:01.000000,1.0
308,35.9143,-117.6833,4.5500,2000-12-13T20:08:01.000000,1.0
309,35.6541,-117.4975,6.6520,2000-12-13T20:09:01.000000,1.0
310,35.6127,-117.4165,5.2770,2000-12-13T20:10:01.000000,1.0
311,35.6028,-117.5938,3.6630,2000-12-13T20:11:01.000000,1.0
312,35.5999,-117.5984,4.5970,2000-12-13T20:12:01.000000,1.0
313,35.5952,-117.3930,7.2320,2000-12-13T20:13:01.000000,1.0
314,35.6230,-117.4267,3.4250,2000-12-13T20:14:01.000000,1.0
315,35.7066,-117.5046,5.6950,2000-12-13T20:15:01.000000,1.0
316,35.7328,-117.5350,5.2500,2000-12-13T20:16:01.000000,1.0
317,36.0544,-117.8505,3.7950,2000-12-13T20:17:01.000000,1.0
318,35.9412,-117.6980,4.1280,2000-12-13T20:18:01.000000,1.0
319,35.9340,-117.7042,4.4920,2000-12-13T20:19:01.000000,1.0
320,35.8923,-117.7264,6.4880,2000-12-13T20:20:01.000000,1.0
321,35.9380,-117.6980,4.3460,2000-12-13T20:21:01.000000,1.0
322,35.5986,-117.5945,4.5540,2000-12-13T20:22:01.000000,1.0
323,35.7064,-117.5486,5.4290,2000-12-13T20:23:01.000000,1.0
324,35.6694,-117.4755,4.4520,2000-12-13T20:24:01.000000,1.0
325,35.6156,-117.5969,7.8290,2000-12-13T20:25:01.000000,1.0
326,35.9789,-117.6651,3.6390,2000-12-13T20:26:01.000000,1.0
327,35.7603,-117.5714,6.8640,2000-12-13T20:27:01.000000,1.0
328,35.7503,-117.5754,6.2770,2000-12-13T20:28:01.000000,1.0
329,35.9105,-117.7197,6.2610,2000-12-13T20:29:01.000000,1.0
330,35.8977,-117.7160,7.7540,2000-12-13T20:30:01.000000,1.0
331,35.6648,-117.4783,1.5140,2000-12-13T20:31:01.000000,1.0
332,35.9018,-117.6962,4.5400,2000-12-13T20:32:01.000000,1.0
333,35.8834,-117.6823,4.3790,2000-12-13T20:33:01.000000,1.0
334,35.5989,-117.4327,7.1830,2000-12-13T20:34:01.000000,1.0
335,35.9245,-117.7112,4.2720,2000-12-13T20:35:01.000000,1.0
336,35.6225,-117.4423,6.7330,2000-12-13T20:36:01.000000,1.0
337,35.6313,-117.4329,6.7070,2000-12-13T20:37:01.000000,1.0
338,35.8967,-117.7007,7.1020,2000-12-13T20:38:01.000000,1.0
339,35.7323,-117.5703,7.9110,2000-12-13T20:39:01.000000,1.0
340,35.6291,-117.4259,4.5370,2000-12-13T20:40:01.000000,1.0
341,35.8804,-117.7111,4.2550,2000-12-13T20:41:01.000000,1.0
342,35.8995,-117.7387,7.3320,2000-12-13T20:42:01.000000,1.0
343,35.8558,-117.6767,7.4780,2000-12-13T20:43:01.000000,1.0
344,35.6809,-117.4976,3.9540,2000-12-13T20:44:01.000000,1.0
345,35.6271,-117.4284,3.6960,2000-12-13T20:45:01.000000,1.0
346,35.8981,-117.6987,4.6050,2000-12-13T20:46:01.000000,1.0
347,35.6065,-117.5858,5.1330,2000-12-13T20:47:01.000000,1.0
348,35.9491,-117.6779,3.3240,2000-12-13T20:48:01.000000,1.0
349,36.0592,-117.8550,3.8800,2000-12-13T20:49:01.000000,1.0
350,35.6545,-117.4882,5.6630,2000-12-13T20:50:01.000000,1.0
351,35.9058,-117.6797,3.9840,2000-12-13T20:51:01.000000,1.0
352,35.8853,-117.6836,3.2260,2000-12-13T20:52:01.000000,1.0
353,35.6288,-117.4310,3.4670,2000-12-13T20:53:01.000000,1.0
354,35.8417,-117.6617,4.3480,2000-12-13T20:54:01.000000,1.0
355,35.9396,-117.7004,3.6760,2000-12-13T20:55:01.000000,1.0
356,35.7470,-117.5557,5.1640,2000-12-13T20:56:01.000000,1.0
357,35.6062,-117.4652,4.7310,2000-12-13T20:57:01.000000,1.0
358,35.9735,-117.6757,3.0380,2000-12-13T20:58:01.000000,1.0
359,35.9389,-117.6923,4.0750,2000-12-13T20:59:01.000000,1.0
360,35.7155,-117.5607,6.5150,2000-12-13T21:00:01.000000,1.0
361,35.8353,-117.6547,3.9490,2000-12-13T21:01:01.000000,1.0
362,36.0549,-117.8544,3.2000,2000-12-13T21:02:01.000000,1.0
363,36.0249,-117.8687,1.8580,2000-12-13T21:03:01.000000,1.0
364,35.5752,-117.6203,6.0890,2000-12-13T21:04:01.000000,1.0
365,35.6919,-117.5212,7.5040,2000-12-13T21:05:01.000000,1.0
366,35.9811,-117.6704,3.2330,2000-12-13T21:06:01.000000,1.0
367,35.9095,-117.6943,4.7640,2000-12-13T21:07:01.000000,1.0
